O=Cc1ccc(-c2ccc(O)c(C(=O)Nc3ccc[n+]([O-])c3)c2)o1,ZINC001634066254
Cc1ccc(CC(=O)N2CCC3(C[C@@H]3C(=O)[O-])CC2)cc1,ZINC000262424068
C=CCCC[N@@H+]1CC[C@@H]2[C@@H]1CCCN2C(=O)[C@@H](C)CSC,ZINC001484457848
Nc1nc(Cl)cc2ncn(-c3cnn(C4CC4)c3)c21,ZINC001175961632
CC[N@H+]1CCCC[C@H]1C(=O)N1CCC[C@H](OC)C1,ZINC000171507824
COc1cc(CNc2cc(C(C)(C)C)ncn2)ccc1OCC(=O)N(C)C,ZINC000663390508
C[C@@H]1C[NH2+]CCN1C(=O)C(=O)N1CCN(Cc2cccnc2)CC1,ZINC000423608600
C[C@H](O)c1ccc(CNC(=O)[C@H]2C[N@@H+](C)C[C@H]2c2ccccc2)cc1,ZINC001552240448
O=C(Nc1ccc(N2CCOCC2)cn1)[C@H]1CCCC[C@H]1C1CC1,ZINC000576108978
CC(=O)Nc1ccc(Cl)c(C(=O)N[C@@H](C)C(=O)N2CCOCC2)c1,ZINC000487443903
Cc1cc(Br)cc(N[C@H](CCO)C2CC2)n1,ZINC000892657167
CCN1C(=S)N[C@H](c2ccccn2)[C@@H]1c1cc(C)n(-c2ccc(N(C)C)cc2)c1C,ZINC000222788200
C[C@@H]1C[N@H+](CCO)[C@@H](C)CN1C(=O)CCCc1ccc(Cl)c(Cl)c1,ZINC000416297590
C[C@@H]1C[C@H](C(=O)Nc2cc(-c3nnc4n3CCCCC4)ccc2F)CO1,ZINC000333685562
O=C(COC(=O)c1cc(OCc2ccccc2)ccn1)NCCC1CCCCC1,ZINC000745645056
O=C(NCCc1ccc(F)c(F)c1F)[C@H]1CC=CCC1,ZINC000343647272
C=CCCC[N@@H+](C)CCC1CCN(C(=O)c2coc(CC)n2)CC1,ZINC001753818235
CCc1c(NC(=O)C(=O)NC[C@@H](CC)c2ccccc2)cnn1CCC(C)C,ZINC000426094219
CC[C@@H](C)[C@@H](C)C(=O)OCc1ccc(OCC(F)(F)F)nn1,ZINC000847889981
[NH3+]CCc1nnn(-c2nnc(Cl)cc2Cl)n1,ZINC001156985429
COC[C@@H](NC(=O)C(=O)Nc1ccc(Cl)c(Br)c1)c1ccccc1,ZINC000538766629
CCN(CCNC(=O)c1ccc2c(c1)CCC2)C(=O)C[C@@H](C)COC,ZINC001528848312
O=C(C1CC1)N1CCC[C@@H](C(=O)N2CC(=O)N(CCC(F)(F)F)C2)C1,ZINC000570670731
O=C(N[C@@H]1CCCOc2ccccc21)N1CC[C@@H]2CC[NH2+][C@H]2C1,ZINC000669437250
O=C(CCCF)N1CCC[C@H](NC(=O)c2cc[nH]c2C2CC2)CC1,ZINC001066452704
OCc1ccc(CN2CC(c3ccccc3F)C2)cc1,ZINC000639195633
CCOc1ccncc1S(=O)(=O)N[C@H]1CCO[C@@H](C)C1,ZINC000295116012
CCc1nc(C(C)C)ccc1C(=O)N1CCC(C)(C(=O)OC(C)(C)C)CC1,ZINC000592873898
Cc1ccc(C(=O)N2CC3(C2)CCN(C(=O)[C@H]2CC[C@@H](C)O2)CC3)s1,ZINC000945065232
CCOCCOCc1cccc(CNC(=O)c2ccn(CC)n2)c1,ZINC000569226298
CCc1ccc(C(=O)N(C)CCNC(=O)c2ncn(C)n2)o1,ZINC001431234844
CC[N@H+]1C[C@H]2[C@@H](C1)[C@@H]1CC[C@H]2CN1C(=O)COc1ccc(F)cc1,ZINC001089906815
CC(C)Cc1nnc(N2CC[C@H]3CSC[C@H]3C2)n1C,ZINC000871046763
CNC(=O)Cc1ccc(NC(=O)N[C@H](CCCCOC)c2ccccc2)cc1,ZINC000684224877
C[C@@H]1CC[C@@H](NC(=O)c2ccn3ccccc23)CN1C(=O)C(N)=O,ZINC001018289115
C[C@@H]1[C@@H](NC(=O)CN2CCC[C@@H]2C)CCN1C(=O)CC1=CCCCC1,ZINC000990000285
COc1ccc(/C=C/c2nc(-c3cccnc3)no2)nc1,ZINC000350401282
C/C=C(\C)C(=O)N1C[C@H](C)[C@H](NC(=O)C23CC4CC(CC(C4)C2)C3)C1,ZINC000966294395
CC(C)CNC(=O)COC(=O)CCNc1ccccc1[N+](=O)[O-],ZINC000011312230
Cc1cc(C(=O)N2C[C@@H](NC(=O)c3ccc(C)nn3)C[C@@H]2C)n(C)n1,ZINC001012358590
C=CCNN=C1CCC[C@H]1CNC(=O)OC(C)(C)C,ZINC000496565625
CCC(CC)(CC)C(=O)N1CCC[C@H]1C[N@@H+](C)Cc1cnn(C)c1,ZINC000960951717
C[C@@H]1[C@H](NC(=O)c2cnco2)CCN1C(=O)c1cc(C(N)=O)co1,ZINC001012073363
Cn1ncc(C(=O)NC[C@@H]2CCN(C(=O)CC3CC(F)(F)C3)C2)n1,ZINC000982915771
